,City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
0,2112802,Hasaki,JP,35.7333,140.8333,81.07,80,21,23.73
1,3981432,Todos Santos,MX,23.45,-110.2167,78.17,85,3,7.27
2,933366,Maun,BW,-19.9833,23.4167,44.56,70,0,4.61
3,552465,Kargopol',RU,61.5071,38.9456,50.83,82,94,3.36
4,4031574,Provideniya,RU,64.3833,-173.3,50.11,81,90,11.18
5,2022572,Khatanga,RU,71.9667,102.5,76.33,48,96,17.78
6,4676740,Brownsville,US,25.9018,-97.4975,80.47,81,1,3.0
7,964432,Port Alfred,ZA,-33.5906,26.891,61.45,31,30,11.21
8,2122493,Omsukchan,RU,62.5333,155.8,51.69,81,100,4.81
9,5563839,Fortuna,US,40.5982,-124.1573,54.82,92,90,1.01
10,1006984,East London,ZA,-33.0153,27.9116,58.14,35,0,5.75
11,2264557,Ponta do Sol,PT,32.6667,-17.1,71.35,70,1,4.83
12,4033356,Tiarei,PF,-17.5333,-149.3333,80.62,73,38,4.85
13,2178174,Albury,AU,-36.0833,146.9167,61.41,60,42,10.36
14,1501377,Kungurtug,RU,50.5994,97.5228,63.54,79,99,3.51
15,3346821,Ondjiva,AO,-17.0667,15.7333,48.34,45,10,7.36
16,4030556,Rikitea,PF,-23.1203,-134.9692,74.91,79,99,18.63
17,5122534,Jamestown,US,42.097,-79.2353,66.69,76,1,3.0
18,6050066,La Ronge,CA,55.1001,-105.2842,66.45,59,20,4.61
19,3095192,Koronowo,PL,53.3137,17.937,64.4,91,73,4.14
20,2013348,Vladivostok,RU,43.1056,131.8735,86.02,78,12,9.98
21,110690,Faya,SA,18.3851,42.4509,61.32,65,86,3.49
22,1486321,Yar-Sale,RU,66.8333,70.8333,56.23,54,69,7.38
23,3874787,Punta Arenas,CL,-53.15,-70.9167,39.31,87,75,6.91
24,546105,Nikolskoye,RU,59.7035,30.7861,63.57,62,8,3.24
25,2155415,New Norfolk,AU,-42.7826,147.0587,58.06,58,69,5.01
26,2110227,Butaritari,KI,3.0707,172.7902,82.02,74,35,4.21
27,1282256,Hithadhoo,MV,-0.6,73.0833,81.25,74,100,5.86
28,162158,Baharly,TM,38.4362,57.4316,92.79,22,0,4.18
